BroadArea,SubArea,,Prefix,Title,Credits,Requirement
HUMAN IMPACTS,Climate change,=,"ATM S 111 Global Warming: Understanding the Issues (5) NW,æI&S",,,
HUMAN IMPACTS,Climate change,,"ATM S 211 Climate and Climate Change (5) NW,æI&S",,,
HUMAN IMPACTS,Climate change,,ATM S 585/ESS 585/ENVIR 585/ SMA 585 Climate Impacts on the Pacific Northwest (4),,,
HUMAN IMPACTS,Climate change,,"ATM S 586/ESS 586/OCEAN 586 Current Research in Climate Change (2, max. 20)",,,
HUMAN IMPACTS,Climate change,,BIOL 315 Biological Impacts of Climate Change (3) NW,,,
HUMAN IMPACTS,Climate change,,CEE 565 Climate Change and Energy (5),,,
HUMAN IMPACTS,Climate change,,FISH 330/ENVIR 330 Climate Change Impacts on Marine Ecosystems (5) NW,,,
HUMAN IMPACTS,Climate change,,"OCEAN 586 Current Research in Climate Change (2, max. 20)",,,
HUMAN IMPACTS,Climate change,,SMEA 585 Climate Impacts on the Pacific Northwest (4),,,
HUMAN IMPACTS,General degradation,,GEOG 270 Geographies of International Development and Environmental Change (5) I&S,,,
HUMAN IMPACTS,General degradation,,SMEA 430 Development and the Environment (3)æ,,,
HUMAN IMPACTS,General degradation,,SMEA 433/ENVIR 433/SIS 433 Environmental Degradation in the Tropics (5) I&S/NW,,,
HUMAN IMPACTS,General degradation,,SMEA 500 Introduction to the Human Dimensions of Global Change (3),,,
HUMAN IMPACTS,General degradation,,SMEA 530 Development and the Environment (3),,,
HUMAN IMPACTS,Pollution,,"ATM S 212 Air Pollution: From Urban Smog to the Ozone Hole (5) NW, I&S",,,
HUMAN IMPACTS,Pollution,,ATM S 458/CHEM 458 Air Pollution Chemistry (4) NW,,,
HUMAN IMPACTS,Pollution,,CEE 546 Topics in Ecological Effects of Wastewater (3),,,
IMPACTS ON HUMAN HEALTH & WELL-BEING,IMPACTS ON HUMAN HEALTH & WELL-BEING,,ARCH 564 Environmental Design and Well-Being (3)æ,,,
IMPACTS ON HUMAN HEALTH & WELL-BEING,IMPACTS ON HUMAN HEALTH & WELL-BEING,,CEE 555 Topics in Environmental Health (3) æ,,,
IMPACTS ON HUMAN HEALTH & WELL-BEING,IMPACTS ON HUMAN HEALTH & WELL-BEING,,CEE 560/ENV H 577/PB AF 589 Risk Assessment for Environmental Health Hazards (3/4),,,
IMPACTS ON HUMAN HEALTH & WELL-BEING,IMPACTS ON HUMAN HEALTH & WELL-BEING,,ENV H 311 Introduction to Environmental Health (3) I&S/NW,,,
IMPACTS ON HUMAN HEALTH & WELL-BEING,IMPACTS ON HUMAN HEALTH & WELL-BEING,,ENV H 472/ENV H 572 Environmental Risk and Society (3) I&S,,,
IMPACTS ON HUMAN HEALTH & WELL-BEING,IMPACTS ON HUMAN HEALTH & WELL-BEING,,ENV H 510 Global Environmental and Occupational Health (4),,,
"KEEPING PEOPLE IN CHECK (regulations, laws, policies)",Relating to environmental impacts,,CEE 552 Environmental Regulations (3) GE,,,
"KEEPING PEOPLE IN CHECK (regulations, laws, policies)",Relating to environmental impacts,,"GEOG 467/LSJ 467 Law, Justice, and the Environment (5) I&S",,,
"KEEPING PEOPLE IN CHECK (regulations, laws, policies)",Relating to environmental impacts,,LAW A 527 Environmental Law: Pollution Control (4),,,
"KEEPING PEOPLE IN CHECK (regulations, laws, policies)",Relating to environmental impacts,,"LAW B 511 Seminar on Problems in International Environmental Law ([1-4]-, max. 4)",,,
"KEEPING PEOPLE IN CHECK (regulations, laws, policies)",Relating to environmental impacts,,"LAW B 529 Advanced Environmental Law and Practice (1-4, max. 4)",,,
"KEEPING PEOPLE IN CHECK (regulations, laws, policies)",Relating to environmental impacts,,LAW E 598 The Law and Climate Change Seminar (4),,,
"KEEPING PEOPLE IN CHECK (regulations, laws, policies)",Relating to environmental impacts,,PB AF 593 Climate Change and Energy Policy (3-4),,,
"KEEPING PEOPLE IN CHECK (regulations, laws, policies)",Relating to environmental impacts,,"PB AF 595 Topics in Environmental Policy and Management (3-5, max. 12)",,,
"KEEPING PEOPLE IN CHECK (regulations, laws, policies)",Relating to environmental impacts,,POL S 383 Environmental Politics and Policy in the United States (5) I&S,,,
"KEEPING PEOPLE IN CHECK (regulations, laws, policies)",Relating to environmental impacts,,POL S 384/ENVIR 384 Global Environmental Politics (5) I&S,,,
"KEEPING PEOPLE IN CHECK (regulations, laws, policies)",Relating to environmental impacts,,POL S 422 International Environmental Politics Seminar (5) I&S,,,
"KEEPING PEOPLE IN CHECK (regulations, laws, policies)",Relating to environmental impacts,,POL S 574 Environmental Regulation Policy (5),,,
"KEEPING PEOPLE IN CHECK (regulations, laws, policies)",Relating to environmental impacts,,SEFS 571/PB AF 592 Resource Policy and Administration (5),,,
"KEEPING PEOPLE IN CHECK (regulations, laws, policies)",Relating to environmental impacts,,"SEFS 592/PB AF 590 Environmental Policy Processes (3) BIOL 572 Science and Environmental Policy (3-5, max. 5)",,,
"KEEPING PEOPLE IN CHECK (regulations, laws, policies)",Relating to environmental impacts,,SMA 476/ENVIR 476 Introduction to Environmental Law and Process (3) I&S,,,
"KEEPING PEOPLE IN CHECK (regulations, laws, policies)",Relating to environmental impacts,,SMEA 521 Governmental Responses to Global Climate Change (3),,,
"KEEPING PEOPLE IN CHECK (regulations, laws, policies)",Relating to the environment/natural resources,,"BIOL 478/ENVIR 478/FISH 478 Topics in Sustainable Fisheries (3, max. 9) I&S/NW",,,
"KEEPING PEOPLE IN CHECK (regulations, laws, policies)",Relating to the environment/natural resources,,LAW 442 Land Law and the Urban Environment (3) I&S,,,
"KEEPING PEOPLE IN CHECK (regulations, laws, policies)",Relating to the environment/natural resources,,LAW A 525 Water Law (4),,,
"KEEPING PEOPLE IN CHECK (regulations, laws, policies)",Relating to the environment/natural resources,,"LAW B 563 Marine Law and Policy Seminar (2-4, max. 6)",,,
"KEEPING PEOPLE IN CHECK (regulations, laws, policies)",Relating to the environment/natural resources,,"LAW B 585 Natural Resource Law (1-4, max. 4)",,,
"KEEPING PEOPLE IN CHECK (regulations, laws, policies)",Relating to the environment/natural resources,,LAW E 596 Wildlife Law (3),,,
"KEEPING PEOPLE IN CHECK (regulations, laws, policies)",Relating to the environment/natural resources,,"SMA 515/ LAW B 565 U.S. Coastal and Ocean Law (3-5, max. 5)",,,
"KEEPING PEOPLE IN CHECK (regulations, laws, policies)",Relating to the environment/natural resources,,SMEA 519 Marine Policy Analysis (3),,,
MEASURING/STUDYING IMPACTS,MEASURING/STUDYING IMPACTS,,CEE 566 Environmental Analysis and Assessment (5),,,
MEASURING/STUDYING IMPACTS,MEASURING/STUDYING IMPACTS,,"ESRM 304 Environmental and Resource Assessment (5) I&S/NW, QSR",,,
MEASURING/STUDYING IMPACTS,MEASURING/STUDYING IMPACTS,,GEOG 471 Methods of Resource Analysis (5) I&S,,,
MEASURING/STUDYING IMPACTS,MEASURING/STUDYING IMPACTS,,M E 515 Life Cycle Assessment (3),,,
MEASURING/STUDYING IMPACTS,MEASURING/STUDYING IMPACTS,,OCEAN 365 Practicing Sustainability Science (8) I&S/NW,,,
MEASURING/STUDYING IMPACTS,MEASURING/STUDYING IMPACTS,,PB AF 588 Environmental Risk Analysis (4),,,
MEASURING/STUDYING IMPACTS,MEASURING/STUDYING IMPACTS,,"SEFS 519 Conducting Financial, Environmental, and Social Responsibility Performance Research (3, max. 12)",,,
MITIGATION,Conservation,,BIOL 476 Conservation Biology (5) NW,,,
MITIGATION,Conservation,,"BIOL 487 Senior Seminar in Conservation Biology (1-3, max. 9) NW",,,
MITIGATION,Conservation,,"BIOL 570 Seminar in Conservation Biology (1-3, max. 15)",,,
MITIGATION,Conservation,,"BIOL 571 Topics in Conservation Biology (1-3, max. 15)",,,
MITIGATION,Conservation,,ESRM 350 Wildlife Biology and Conservation (5) NW,,,
MITIGATION,Conservation,,ESRM 450 Wildlife Ecology and Conservation (5) NW,,,
MITIGATION,Conservation,,ESRM 456 Biology and Conservation of Birds (3) NW,,,
MITIGATION,Conservation,,ESRM 459 Wildlife Conservation in Northwest Ecosystems (3) NW,,,
MITIGATION,Management,,?ESRM 201 Sustaining Pacific Northwest Ecosystems (5) I&S/NW,,,
MITIGATION,Management,,?SEFS 540 Optimization Techniques for Natural Resources (5),,,
MITIGATION,Management,,B A 541 Environmental Management I (4),,,
MITIGATION,Management,,B A 542 Environmental Management II (4),,,
MITIGATION,Management,,B A 543 Environmental Management III (4),,,
MITIGATION,Management,,"B A 544 Environmental Management Seminar (1, max. 3)",,,
MITIGATION,Management,,"ENVIR 501 Graduate Seminar in Environmental Management (1-5, max. 15)",,,
MITIGATION,Management,,ENVIR 511 Environmental Management -- Keystone Project I (4),,,
MITIGATION,Management,,ENVIR 512 Environmental Management -- Keystone Project II (4),,,
MITIGATION,Management,,ESRM 381 Management of Wildland Recreation and Amenities (3) NW,,,
MITIGATION,Management,,"ESRM 415 Biology, Ecology, and Management of Plant Invasions (5) NW",,,
MITIGATION,Management,,ESRM 425 Ecosystem Management (5) NW,,,
MITIGATION,Management,,"ESRM 458 Management of Endangered, Threatened, and Sensitive Species (5) NW",,,
MITIGATION,Management,,ESRM 472 Wetland Ecology and Management (5) NW,,,
MITIGATION,Management,,ESRM 480 Landscape Plant Science and Sustainable Management (5) NW,,,
MITIGATION,Management,,FISH 323 Conservation and Management of Aquatic Resources (5) NW,,,
MITIGATION,Management,,FISH 447/FISH 547 River Ecology and Watershed Management (3) NW,,,
MITIGATION,Management,,"FISH 513 Current Topics in Management, Conservation, and Restoration (1-5, max. 15)",,,
MITIGATION,Management,,FISH 581/SMA 581 Case Study Method: Living Marine Resource Management (3),,,
MITIGATION,Management,,GEOG 370 Problems in Resource Management (5) I&S,,,
MITIGATION,Management,,SEFS 591/PB AF 591 Seminar in Resource Policy and Management (1),,,
MITIGATION,Management,,SMEA 509 Integrated Coastal Management (3),,,
MITIGATION,Management,,SMEA 511 Coastal Environment Management (3),,,
MITIGATION,Management,,SMEA 525 Marine Protected Area Management and Science (3),,,
MITIGATION,Planning,,CEE 547 Lake and Watershed Management (3),,,
MITIGATION,Planning,,CEE 576 Water Resources Planning (3),,,
MITIGATION,Planning,,CEE 577 Water-Quality Management (3),,,
MITIGATION,Planning,,ESRM 470 Natural Resource Policy and Planning (5) I&S/NW,,,
MITIGATION,Planning,,SMEA 540 International Strategic Planning for Marine Resources (3)æ,,,
MITIGATION,Restoration,,ESRM 362/ENVIR 362 Introduction to Restoration Ecology (5) I&S/NW,,,
MITIGATION,Restoration,,ESRM 462 Restoration Ecology Capstone: Introduction (2) NW,,,
MITIGATION,Restoration,,ESRM 463 Restoration Ecology Capstone: Proposal and Plan (3) NW,,,
MITIGATION,Restoration,,ESRM 464 Restoration Ecology Capstone: Field Site Restoration (5) NW,,,
MITIGATION,Restoration,,ESRM 473 Restoration in North American Ecosystems (5) NW,,,
